offset,rounder,x,valor real,valor aproximado,error %
1.0,1.0,39.25,0.9998018389311463,1.4250000000000007,42.5282435490836
1.0,1.0,39.75,0.8869525137988248,0.2,77.45087849817367
1.0,1.0,40.25,0.5569462797382114,-1.125,301.9943468387648
1.0,1.0,40.75,0.09058017221711874,1.0,1003.9943682189312
1.0,1.0,41.25,-0.397963120556671,-1.0499999999999972,163.84354372617662
1.0,1.0,41.75,-0.78907116196914,-0.4750000000000014,39.802641017239665
1.0,1.0,42.25,-0.9869870631127111,-0.7499999999999964,24.011162047587185
1.0,1.0,42.75,-0.943254108829076,-2.750000000000001,191.5439195291456
1.0,1.0,43.25,-0.6685796515669709,-2.0250000000000004,202.88089014584054
1.0,1.0,43.75,-0.23021357807075407,-1.8750000000000036,714.4610824925969
1.0,1.0,44.25,0.2645168083164075,1.8500000000000014,599.3884478551109
